"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-05","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","1.009","","","","3"
"1990-05","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","9.166","","","","3"
"1990-05","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","11.216","","","","3"
"1990-05","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","4.662","","","","3"
"1990-05","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","1.248","","","","3"
"1990-05","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.282","","","","3"
"1990-05","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","3.132","","","","3"
"1990-05","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","5.900","","","","3"
"1990-06","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","33.487","","","","3"
"1990-06","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","4.510","","","","3"
"1990-06","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","1.022","","","","3"
"1990-06","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.138","","","","3"
"1990-06","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","1.770","","","","3"
"1990-06","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","1.580","","","","3"
"1990-06","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","9.347","","","","3"
"1990-06","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","9.541","","","","3"
"1990-06","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","4.503","","","","3"
"1990-06","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","1.273","","","","3"
"1990-06","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.237","","","","3"
"1990-06","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","2.993","","","","3"
"1990-06","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","5.586","","","","3"
"1990-07","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","25.165","","","","3"
"1990-07","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","4.085","","","","3"
"1990-07","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","0.900","","","","3"
"1990-07","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.209","","","","3"
"1990-07","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","1.843","","","","3"
"1990-07","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","1.133","","","","3"
"1990-07","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","4.382","","","","3"
"1990-07","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","8.373","","","","3"
"1990-07","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","4.077","","","","3"
"1990-07","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","0.845","","","","3"
"1990-07","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.734","","","","3"
"1990-07","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","2.498","","","","3"
"1990-07","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","4.248","","","","3"
"1990-08","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","26.750","","","","3"
"1990-08","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","4.635","","","","3"
"1990-08","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","1.348","","","","3"
"1990-08","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.270","","","","3"
"1990-08","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","2.148","","","","3"
"1990-08","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","0.869","","","","3"
"1990-08","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","5.279","","","","3"
"1990-08","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","8.751","","","","3"
"1990-08","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","3.529","","","","3"
"1990-08","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","0.714","","","","3"
"1990-08","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.696","","","","3"
"1990-08","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","2.119","","","","3"
"1990-08","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","4.556","","","","3"
"1990-09","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","26.967","","","","3"
"1990-09","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","4.044","","","","3"
"1990-09","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","1.066","","","","3"
"1990-09","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.218","","","","3"
"1990-09","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","1.882","","","","3"
"1990-09","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","0.878","","","","3"
"1990-09","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","5.618","","","","3"
"1990-09","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","9.000","","","","3"
"1990-09","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","3.765","","","","3"
"1990-09","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","0.717","","","","3"
"1990-09","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.560","","","","3"
"1990-09","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","2.488","","","","3"
"1990-09","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","4.540","","","","3"
"1990-10","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","32.790","","","","3"
"1990-10","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","4.612","","","","3"
"1990-10","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","2.029","","","","3"
"1990-10","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.271","","","","3"
"1990-10","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","1.640","","","","3"
